LOCATIONNAME,TYPOLOGY,ROOMS,AREARANGE,PRICE_ASKING,AREA
Latina,PISO,1,142,800.0,142
Chamartín,PISO,3,142,1350.0,142
Centro,PISO,3,70,550.0,70
Moncloa,PISO,0,120,1295.0,120
Chamartín,PISO,3,75,3000.0,75
Moncloa,PISO,3,165,1870.0,165
Latina,PISO,3,70,700.0,70
Latina,PISO,1,120,1510.0,120
Retiro,PISO,3,195,1950.0,195
Moncloa,PISO,3,97,1100.0,97
Centro,PISO,0,195,1350.0,195
Moncloa,PISO,3,70,1000.0,70
Chamartín,PISO,1,165,2400.0,165
Tetuán,PISO,0,97,850.0,97
Tetuán,PISO,2,300,2600.0,300
Salamanca,PISO,2,180,667.5,180
Tetuán,PISO,2,180,3450.0,180
Tetuán,PISO,3,240,2100.0,240
Chamartín,PISO,3,300,3800.0,300
Salamanca,PISO,1,120,1595.0,120
Retiro,PISO,3,195,1999.0,195
Tetuán,PISO,3,195,1490.0,195
Centro,PISO,0,97,1200.0,97
Latina,PISO,1,70,632.5,70
Latina,PISO,2,142,800.0,142
Latina,PISO,1,120,875.0,120
Latina,PISO,1,75,670.0,75
Chamberí,PISO,0,240,2900.0,240
Latina,PISO,1,70,585.0,70
Centro,PISO,1,195,1750.0,195
Chamartín,PISO,1,120,750.0,120
Moncloa,PISO,2,300,2250.0,300
Moncloa,PISO,3,142,1700.0,142
Centro,PISO,3,120,1450.0,120
Latina,PISO,0,70,950.0,70
Chamberí,PISO,0,40,750.0,40
Salamanca,PISO,3,300,3900.0,300
Moncloa,PISO,2,195,1795.0,195
Salamanca,PISO,2,195,2600.0,195
Centro,PISO,0,195,1500.0,195
Tetuán,PISO,3,240,1800.0,240
Chamberí,PISO,3,97,1250.0,97
Centro,PISO,0,195,1350.0,195
Salamanca,PISO,2,120,667.5,120
Chamartín,PISO,2,165,2450.0,165
Chamartín,PISO,2,142,1400.0,142
Retiro,PISO,0,70,800.0,70
Chamberí,PISO,1,120,1550.0,120
Centro,PISO,1,240,2500.0,240
Chamberí,PISO,0,150,725.0,150
Chamartín,PISO,1,240,3300.0,240
Retiro,PISO,2,240,3100.0,240
Salamanca,PISO,1,240,4850.0,240
Retiro,PISO,0,70,750.0,70
Tetuán,PISO,2,40,3450.0,40
Chamberí,PISO,3,300,3650.0,300
Tetuán,PISO,1,195,1025.0,195
Moncloa,PISO,0,70,790.0,70
Chamberí,PISO,3,97,1250.0,97
Salamanca,PISO,0,97,1495.0,97
Tetuán,PISO,3,60,2750.0,60
Retiro,PISO,1,120,1250.0,120
Centro,PISO,3,70,550.0,70
Salamanca,PISO,3,165,1900.0,165
Chamartín,PISO,2,105,6000.0,105
Chamartín,PISO,2,240,3150.0,240
Moncloa,PISO,1,142,1250.0,142
Salamanca,PISO,1,165,1575.0,165
Latina,PISO,1,97,800.0,97
Chamartín,PISO,3,97,1450.0,97
Latina,PISO,2,240,1400.0,240
Moncloa,PISO,3,142,1825.0,142
Retiro,PISO,2,120,1200.0,120
Tetuán,PISO,3,165,1500.0,165
Moncloa,PISO,2,120,1300.0,120
Latina,PISO,0,75,750.0,75
Moncloa,PISO,3,300,2525.0,300
Chamberí,PISO,3,195,2190.0,195
Retiro,PISO,1,120,1100.0,120
Chamartín,PISO,1,240,3300.0,240
Chamartín,PISO,2,300,2950.0,300
Latina,PISO,0,180,620.0,180
Retiro,PISO,2,180,6000.0,180
Tetuán,PISO,3,70,1750.0,70
Centro,PISO,1,195,1875.0,195
Chamartín,PISO,1,120,845.0,120
Centro,PISO,2,240,2075.0,240
Salamanca,PISO,2,300,3500.0,300
Centro,PISO,2,300,2825.0,300
Moncloa,PISO,3,195,1950.0,195
Salamanca,PISO,3,240,2500.0,240
Centro,PISO,3,150,6250.0,150
Centro,PISO,1,240,2750.0,240
Retiro,PISO,0,195,1600.0,195
Chamberí,PISO,3,240,2500.0,240
Centro,PISO,3,300,2850.0,300
Salamanca,PISO,1,165,1850.0,165
Chamberí,PISO,1,142,1700.0,142
Centro,PISO,0,195,1350.0,195
Salamanca,PISO,3,120,4000.0,120
Latina,PISO,2,142,985.0,142
Chamberí,PISO,1,165,2000.0,165
Chamartín,PISO,2,105,6000.0,105
Chamartín,PISO,3,300,3800.0,300
Latina,PISO,2,70,650.0,70
Chamberí,PISO,0,240,2900.0,240
Centro,PISO,1,142,1450.0,142
Tetuán,PISO,0,97,1125.0,97
Moncloa,PISO,3,70,1500.0,70
Chamberí,PISO,2,70,1200.0,70
Tetuán,PISO,3,165,1500.0,165
Moncloa,PISO,2,120,1300.0,120
Moncloa,PISO,1,120,1225.0,120
Chamartín,PISO,2,165,2450.0,165
Moncloa,PISO,3,120,1200.0,120
Centro,PISO,0,195,1350.0,195
Retiro,PISO,2,300,3950.0,300
Centro,PISO,2,240,2200.0,240
Chamartín,PISO,2,240,3150.0,240
Latina,PISO,2,97,850.0,97
Moncloa,PISO,3,165,1730.0,165
Chamartín,PISO,3,97,1325.0,97
Salamanca,PISO,1,195,1400.0,195
Retiro,PISO,2,97,1100.0,97
Tetuán,PISO,2,165,1500.0,165
Moncloa,PISO,1,142,1325.0,142
Tetuán,PISO,0,97,1125.0,97
Chamartín,PISO,3,240,2400.0,240
Retiro,PISO,2,165,1550.0,165
Chamartín,PISO,3,105,3500.0,105
Salamanca,PISO,1,195,1400.0,195
Latina,PISO,3,195,1150.0,195
Tetuán,PISO,3,120,2625.0,120
Retiro,PISO,3,97,1200.0,97
Moncloa,PISO,1,120,1275.0,120
Moncloa,PISO,3,142,1700.0,142
Moncloa,PISO,3,142,1225.0,142
Salamanca,PISO,1,90,870.0,90
Retiro,PISO,3,300,3200.0,300
Centro,PISO,3,97,1225.0,97
Moncloa,PISO,3,70,1500.0,70
Chamberí,PISO,0,240,2900.0,240
Chamartín,PISO,2,150,6000.0,150
Retiro,PISO,1,240,800.0,240
Retiro,PISO,2,240,3300.0,240
Chamartín,PISO,2,165,2175.0,165
Moncloa,PISO,2,195,1800.0,195
Chamartín,PISO,3,300,3000.0,300
Chamberí,PISO,3,120,1300.0,120
Moncloa,PISO,2,240,1900.0,240
Tetuán,PISO,2,142,1328.0,142
Chamberí,PISO,1,165,1950.0,165
Moncloa,PISO,2,300,2250.0,300
Centro,PISO,0,195,1350.0,195
Salamanca,PISO,1,195,1400.0,195
Centro,PISO,0,240,1900.0,240
Centro,PISO,2,150,845.0,150
Moncloa,PISO,0,97,850.0,97
Tetuán,PISO,1,120,975.0,120
Chamartín,PISO,2,240,3175.0,240
Tetuán,PISO,2,150,760.0,150
Salamanca,PISO,3,97,1400.0,97
Moncloa,PISO,3,165,1800.0,165
Chamberí,PISO,2,300,2900.0,300
Tetuán,PISO,3,97,990.0,97
Chamartín,PISO,0,97,1045.0,97
Latina,PISO,3,165,990.0,165
Moncloa,PISO,1,240,2500.0,240
Moncloa,PISO,1,70,945.0,70
Latina,PISO,3,195,1350.0,195
Salamanca,PISO,0,120,850.0,120
Salamanca,PISO,3,240,2500.0,240
Chamartín,PISO,0,300,2500.0,300
Chamartín,PISO,3,195,2050.0,195
Retiro,PISO,2,240,3300.0,240
Chamartín,PISO,3,97,1000.0,97
Tetuán,PISO,0,70,737.5,70
Latina,PISO,2,195,800.0,195
Moncloa,PISO,3,240,2350.0,240
Retiro,PISO,3,142,1500.0,142
Chamartín,PISO,0,90,800.0,90
Salamanca,PISO,3,70,1200.0,70
Chamartín,PISO,2,240,3200.0,240
Moncloa,PISO,3,70,1500.0,70
Moncloa,PISO,2,70,950.0,70
Salamanca,PISO,3,70,1200.0,70
Centro,PISO,2,195,2100.0,195
Tetuán,PISO,3,165,1350.0,165
Tetuán,PISO,3,165,1500.0,165
Chamberí,PISO,2,195,2500.0,195
Latina,PISO,3,120,800.0,120
Salamanca,PISO,2,75,667.5,75
Moncloa,PISO,2,75,1200.0,75
Latina,PISO,2,142,1000.0,142
Centro,PISO,1,142,1550.0,142
Centro,PISO,1,120,1350.0,120
Latina,PISO,3,195,1550.0,195
Latina,PISO,0,97,725.0,97
Chamartín,PISO,0,97,990.0,97
Centro,PISO,2,60,775.0,60
Centro,PISO,0,120,1100.0,120
Chamartín,PISO,3,300,3000.0,300
Latina,PISO,2,240,1350.0,240
Chamberí,PISO,3,240,2400.0,240
Centro,PISO,3,195,2000.0,195
Chamberí,PISO,1,165,2000.0,165
Chamartín,PISO,2,70,1000.0,70
Chamartín,PISO,2,240,3150.0,240
Tetuán,PISO,1,97,950.0,97
Retiro,PISO,2,300,4500.0,300
Retiro,PISO,1,165,1330.0,165
Latina,PISO,0,105,580.0,105
Moncloa,PISO,2,165,1475.0,165
Salamanca,PISO,2,105,667.5,105
Centro,PISO,1,165,2200.0,165
Chamberí,PISO,1,195,2000.0,195
Chamberí,PISO,2,97,1200.0,97
Salamanca,PISO,3,195,2350.0,195
Centro,PISO,2,240,2075.0,240
Chamberí,PISO,3,150,4950.0,150
Salamanca,PISO,1,150,890.0,150
Retiro,PISO,3,195,1875.0,195
Chamberí,PISO,0,240,2900.0,240
Salamanca,PISO,3,240,2500.0,240
Moncloa,PISO,1,300,1500.0,300
Latina,PISO,2,195,1550.0,195
Retiro,PISO,3,120,7500.0,120
Retiro,PISO,2,70,1095.0,70
Tetuán,PISO,0,70,725.0,70
Retiro,PISO,2,40,690.0,40
Latina,PISO,0,70,850.0,70
Salamanca,PISO,1,142,1500.0,142
Salamanca,PISO,3,90,4000.0,90
Chamberí,PISO,3,90,4950.0,90
Centro,PISO,3,300,2500.0,300
Chamberí,PISO,1,120,1600.0,120
Moncloa,PISO,0,97,850.0,97
Chamartín,PISO,3,142,1463.0,142
Tetuán,PISO,2,120,1100.0,120
Tetuán,PISO,1,195,1025.0,195
Chamartín,PISO,2,165,2450.0,165
Latina,PISO,0,97,750.0,97
Chamberí,PISO,0,97,1075.0,97
Latina,PISO,2,195,800.0,195
Tetuán,PISO,3,120,2600.0,120
Chamberí,PISO,1,300,2000.0,300
Tetuán,PISO,1,180,780.0,180
Latina,PISO,0,180,672.5,180
Latina,PISO,0,120,850.0,120
Retiro,PISO,3,75,7500.0,75
Chamberí,PISO,3,300,2700.0,300
Moncloa,PISO,3,180,4500.0,180
Tetuán,PISO,1,195,1025.0,195
Moncloa,PISO,0,120,812.5,120
Centro,PISO,2,120,800.0,120
Salamanca,PISO,2,300,3500.0,300
Latina,PISO,2,70,650.0,70
Chamberí,PISO,1,165,2000.0,165
Centro,PISO,3,165,1650.0,165
Retiro,PISO,3,97,1100.0,97
Latina,PISO,3,195,1200.0,195
Retiro,PISO,3,120,5000.0,120
Tetuán,PISO,1,142,1500.0,142
Salamanca,PISO,3,97,1400.0,97
Moncloa,PISO,3,120,1200.0,120
Tetuán,PISO,1,75,692.5,75
Retiro,PISO,2,240,3140.0,240
Latina,PISO,2,70,620.0,70
Latina,PISO,3,300,2100.0,300
Centro,PISO,0,240,1900.0,240
Centro,PISO,1,195,2100.0,195
Tetuán,PISO,2,240,2000.0,240
Latina,PISO,2,240,1350.0,240
Chamberí,PISO,2,150,0.0,150
Moncloa,PISO,2,240,2000.0,240
Centro,PISO,3,70,1150.0,70
Salamanca,PISO,3,120,1500.0,120
Tetuán,PISO,2,300,2600.0,300
Moncloa,PISO,1,180,775.0,180
Centro,PISO,2,300,2300.0,300
Retiro,PISO,2,180,1000.0,180
Latina,PISO,2,142,1012.5,142
Centro,PISO,1,165,1900.0,165
Moncloa,PISO,3,240,2400.0,240
Chamberí,PISO,3,70,850.0,70
Chamberí,PISO,2,165,1750.0,165
Moncloa,PISO,3,70,1500.0,70
Latina,PISO,1,120,950.0,120
Latina,PISO,1,75,700.0,75
Moncloa,PISO,1,165,1200.0,165
Retiro,PISO,2,97,1200.0,97
Chamartín,PISO,3,97,1025.0,97
Centro,PISO,1,165,2200.0,165
Centro,PISO,2,105,812.5,105
Chamartín,PISO,1,142,1300.0,142
Centro,PISO,3,195,1860.0,195
Centro,PISO,2,120,750.0,120
Centro,PISO,0,120,1190.0,120
Tetuán,PISO,2,195,1600.0,195
Retiro,PISO,0,70,775.0,70
Latina,PISO,3,195,1100.0,195
Centro,PISO,0,195,1350.0,195
Centro,PISO,3,70,1075.0,70
Salamanca,PISO,0,120,1250.0,120
Retiro,PISO,2,300,4500.0,300
Tetuán,PISO,0,97,900.0,97
Centro,PISO,1,240,2750.0,240
Chamberí,PISO,0,97,1000.0,97
Chamartín,PISO,0,70,785.0,70
Tetuán,PISO,3,40,2600.0,40
Retiro,PISO,3,240,2200.0,240
Centro,PISO,3,120,1450.0,120
Latina,PISO,0,120,750.0,120
Tetuán,PISO,1,142,800.0,142
Moncloa,PISO,2,90,750.0,90
Moncloa,PISO,0,120,1295.0,120
Latina,PISO,3,165,1200.0,165
Moncloa,PISO,2,105,750.0,105
Moncloa,PISO,1,142,1500.0,142
Chamartín,PISO,0,300,2500.0,300
Centro,PISO,3,70,1100.0,70
Tetuán,PISO,1,97,900.0,97
Centro,PISO,1,240,2600.0,240
Chamberí,PISO,2,70,1050.0,70
Chamberí,PISO,2,40,850.0,40
Moncloa,PISO,1,165,1600.0,165
Tetuán,PISO,3,97,990.0,97
Moncloa,PISO,2,240,1900.0,240
Retiro,PISO,2,70,1100.0,70
Salamanca,PISO,0,120,1075.0,120
Tetuán,PISO,3,195,1550.0,195
Salamanca,PISO,3,120,4000.0,120
Salamanca,PISO,0,120,1200.0,120
Chamartín,PISO,1,75,925.0,75
Moncloa,PISO,3,165,1780.0,165
Moncloa,PISO,3,105,3450.0,105
Moncloa,PISO,0,165,1200.0,165
Salamanca,PISO,1,240,4850.0,240
Latina,PISO,2,97,850.0,97
Salamanca,PISO,2,300,3500.0,300
Centro,PISO,3,180,5100.0,180
Moncloa,PISO,3,70,1200.0,70
Tetuán,PISO,2,142,1400.0,142
Tetuán,PISO,3,97,990.0,97
Moncloa,PISO,2,300,1900.0,300
Retiro,PISO,0,97,1100.0,97
Latina,PISO,3,195,1475.0,195
Moncloa,PISO,1,97,1060.0,97
Retiro,PISO,2,195,1795.0,195
Chamartín,PISO,1,195,2000.0,195
Moncloa,PISO,2,120,3500.0,120
Chamartín,PISO,2,120,0.0,120
Centro,PISO,3,97,1500.0,97
Chamberí,PISO,3,97,1500.0,97
Centro,PISO,1,120,1349.5,120
Chamartín,PISO,2,97,1150.0,97
Salamanca,PISO,1,240,4850.0,240
Chamartín,PISO,2,195,2075.0,195
Centro,PISO,2,240,2350.0,240
Latina,PISO,3,70,610.0,70
Latina,PISO,0,40,700.0,40
Latina,PISO,3,70,670.0,70
Centro,PISO,3,300,2600.0,300
Salamanca,PISO,0,97,950.0,97
Chamartín,PISO,3,165,2125.0,165
Chamberí,PISO,3,240,2550.0,240
Chamberí,PISO,3,70,990.0,70
Latina,PISO,1,142,800.0,142
Salamanca,PISO,1,90,950.0,90
Latina,PISO,3,300,2700.0,300
Chamartín,PISO,3,195,1900.0,195
Tetuán,PISO,0,97,775.0,97
Retiro,PISO,3,300,3750.0,300
Retiro,PISO,0,70,800.0,70
Moncloa,PISO,1,120,1200.0,120
Chamartín,PISO,0,97,950.0,97
Chamartín,PISO,3,70,1000.0,70
Moncloa,PISO,3,300,2325.0,300
Tetuán,PISO,3,300,2400.0,300
Moncloa,PISO,0,180,842.5,180
Tetuán,PISO,3,240,2275.0,240
Centro,PISO,0,195,1650.0,195
Chamartín,PISO,3,300,3250.0,300
Centro,PISO,0,240,1900.0,240
Salamanca,PISO,1,195,1400.0,195
Centro,PISO,2,120,1400.0,120
Tetuán,PISO,3,240,1875.0,240
Retiro,PISO,3,150,7500.0,150
Moncloa,PISO,1,142,1175.0,142
Chamartín,PISO,3,97,1325.0,97
Salamanca,PISO,3,97,1300.0,97
Salamanca,PISO,1,60,925.0,60
Chamartín,PISO,3,97,1300.0,97
Chamartín,PISO,2,97,1250.0,97
Chamartín,PISO,0,60,800.0,60
Tetuán,PISO,3,60,2400.0,60
Chamberí,PISO,1,97,1200.0,97
Tetuán,PISO,0,97,900.0,97
Moncloa,PISO,3,300,2350.0,300
Centro,PISO,1,142,1500.0,142
Tetuán,PISO,2,240,2300.0,240
Retiro,PISO,3,165,1500.0,165
Chamartín,PISO,3,142,1400.0,142
Centro,PISO,1,165,1570.0,165
Centro,PISO,1,195,2100.0,195
Centro,PISO,0,120,1274.5,120
Chamberí,PISO,3,75,5000.0,75
Retiro,PISO,2,75,1000.0,75
Chamberí,PISO,3,300,3800.0,300
Centro,PISO,2,180,750.0,180
Tetuán,PISO,2,240,2000.0,240
Salamanca,PISO,1,142,1700.0,142
Moncloa,PISO,2,300,1900.0,300
Salamanca,PISO,0,142,1105.0,142
Chamberí,PISO,2,240,3350.0,240
Moncloa,PISO,1,142,1500.0,142
Chamartín,PISO,1,142,1600.0,142
Chamartín,PISO,0,90,800.0,90
Salamanca,PISO,3,97,1300.0,97
Latina,PISO,0,60,750.0,60
Tetuán,PISO,2,240,2000.0,240
Latina,PISO,3,142,1075.0,142
Retiro,PISO,2,195,2200.0,195
Tetuán,PISO,3,120,2750.0,120
Retiro,PISO,3,300,4300.0,300
Retiro,PISO,1,165,1300.0,165
Retiro,PISO,2,105,6000.0,105
Chamartín,PISO,2,300,2900.0,300
Centro,PISO,3,300,3000.0,300
Chamartín,PISO,1,120,1400.0,120
Retiro,PISO,2,70,1000.0,70
Latina,PISO,3,120,800.0,120
Chamartín,PISO,2,195,2000.0,195
Chamartín,PISO,2,120,1300.0,120
Chamberí,PISO,2,120,1497.5,120
Moncloa,PISO,3,142,962.5,142
Moncloa,PISO,1,165,1600.0,165
Chamartín,PISO,0,120,890.0,120
Latina,PISO,2,165,1100.0,165
Salamanca,PISO,2,105,775.0,105
Tetuán,PISO,0,97,1100.0,97
Centro,PISO,0,240,1900.0,240
Tetuán,PISO,2,240,2000.0,240
Latina,PISO,3,165,1100.0,165
Salamanca,PISO,2,165,2400.0,165
Centro,PISO,0,120,1274.5,120
Latina,PISO,3,70,695.0,70
Moncloa,PISO,0,165,1200.0,165
Latina,PISO,3,70,680.0,70
Moncloa,PISO,2,300,2100.0,300
Centro,PISO,2,300,2700.0,300
Latina,PISO,2,120,850.0,120
Retiro,PISO,2,142,1300.0,142
Chamberí,PISO,2,240,2900.0,240
Salamanca,PISO,0,195,1500.0,195
Centro,PISO,2,300,2825.0,300
Chamberí,PISO,1,120,1550.0,120
Chamartín,PISO,0,97,890.0,97
Retiro,PISO,3,165,1500.0,165
Retiro,PISO,2,70,980.0,70
Salamanca,PISO,1,165,2225.0,165
Latina,PISO,2,165,1400.0,165
Tetuán,PISO,2,105,800.0,105
Chamartín,PISO,0,70,700.0,70
Salamanca,PISO,3,97,1600.0,97
Salamanca,PISO,3,60,4000.0,60
Salamanca,PISO,0,195,2800.0,195
Salamanca,PISO,3,70,1200.0,70
Moncloa,PISO,2,40,3500.0,40
Chamberí,PISO,3,142,1700.0,142
Chamberí,PISO,0,240,2900.0,240
Chamberí,PISO,3,150,5000.0,150
Moncloa,PISO,1,120,1275.0,120
Chamartín,PISO,1,75,800.0,75
Chamberí,PISO,0,120,1000.0,120
Moncloa,PISO,3,97,1100.0,97
Centro,PISO,0,120,1350.0,120
Moncloa,PISO,1,142,1325.0,142
Chamartín,PISO,3,97,1300.0,97
Centro,PISO,2,142,1500.0,142
Latina,PISO,0,90,725.0,90
Moncloa,PISO,1,165,1550.0,165
Salamanca,PISO,2,300,3500.0,300
Chamberí,PISO,0,97,1225.0,97
Tetuán,PISO,2,60,755.0,60
Latina,PISO,1,97,700.0,97
Chamberí,PISO,3,97,1500.0,97
Tetuán,PISO,1,240,1300.0,240
Tetuán,PISO,3,300,2950.0,300
Moncloa,PISO,2,240,1900.0,240
Tetuán,PISO,2,240,2000.0,240
Latina,PISO,2,142,985.0,142
Latina,PISO,1,90,680.0,90
Chamberí,PISO,0,97,1150.0,97
Retiro,PISO,3,70,1000.0,70
Salamanca,PISO,3,240,2500.0,240
Centro,PISO,3,97,1550.0,97
Centro,PISO,2,60,770.0,60
Chamartín,PISO,1,97,1100.0,97
Chamartín,PISO,0,300,2500.0,300
Centro,PISO,3,97,1250.0,97
Chamberí,PISO,3,60,4950.0,60
Moncloa,PISO,2,195,1850.0,195
Chamartín,PISO,1,240,3300.0,240
Latina,PISO,2,240,1350.0,240
Centro,PISO,3,165,1775.0,165
Latina,PISO,0,70,950.0,70
Latina,PISO,1,97,650.0,97
Latina,PISO,0,60,620.0,60
Moncloa,PISO,2,165,1350.0,165
Tetuán,PISO,0,70,857.5,70
Chamberí,PISO,3,40,4950.0,40
Chamartín,PISO,1,40,700.0,40
Tetuán,PISO,2,40,600.0,40
Chamartín,PISO,1,195,1200.0,195
Salamanca,PISO,1,195,1400.0,195
Moncloa,PISO,2,300,1900.0,300
Retiro,PISO,2,165,1525.0,165
Moncloa,PISO,2,142,1500.0,142
Salamanca,PISO,2,195,2400.0,195
Chamberí,PISO,2,195,2200.0,195
Chamartín,PISO,3,142,1400.0,142
Chamberí,PISO,1,120,1525.0,120
Moncloa,PISO,3,70,1500.0,70
Centro,PISO,0,142,1575.0,142
Latina,PISO,2,142,890.0,142
Latina,PISO,3,165,1000.0,165
Retiro,PISO,2,165,1450.0,165
Tetuán,PISO,2,165,1575.0,165
Chamberí,PISO,3,142,1500.0,142
Chamberí,PISO,2,300,2800.0,300
Chamartín,PISO,2,142,1400.0,142
Chamartín,PISO,2,90,6000.0,90
Chamberí,PISO,0,240,2900.0,240
Chamartín,PISO,2,195,1600.0,195
Centro,PISO,1,142,1600.0,142
Chamberí,PISO,2,165,1675.0,165
Retiro,PISO,2,195,2200.0,195
Chamberí,PISO,2,195,2500.0,195
Latina,PISO,1,120,1100.0,120
Chamartín,PISO,3,142,1400.0,142
Moncloa,PISO,1,120,1275.0,120
Chamberí,PISO,3,120,1600.0,120
Retiro,PISO,2,240,3300.0,240
Centro,PISO,2,300,2300.0,300
Centro,PISO,3,70,1150.0,70
Moncloa,PISO,3,40,3450.0,40
Retiro,PISO,0,195,1450.0,195
Tetuán,PISO,2,120,760.0,120
Salamanca,PISO,3,120,4000.0,120
Tetuán,PISO,1,142,887.5,142
Moncloa,PISO,3,165,1565.0,165
Latina,PISO,2,165,775.0,165
Salamanca,PISO,3,120,1400.0,120
Centro,PISO,1,142,1500.0,142
Salamanca,PISO,3,97,1675.0,97
Retiro,PISO,2,97,1200.0,97
Moncloa,PISO,2,195,1925.0,195
Moncloa,PISO,2,120,3500.0,120
Moncloa,PISO,0,165,1200.0,165
Retiro,PISO,2,240,3650.0,240
Retiro,PISO,2,300,5000.0,300
Centro,PISO,1,142,1500.0,142
Salamanca,PISO,3,300,3800.0,300
Chamartín,PISO,0,120,900.0,120
Centro,PISO,3,75,6250.0,75
Chamartín,PISO,1,97,1200.0,97
Centro,PISO,2,195,2000.0,195
Tetuán,PISO,3,142,1450.0,142
Retiro,PISO,2,300,5000.0,300
Chamberí,PISO,1,180,800.0,180
Centro,PISO,2,165,1800.0,165
Latina,PISO,2,165,1650.0,165
Chamartín,PISO,0,97,990.0,97
Centro,PISO,0,195,1350.0,195
Latina,PISO,1,120,687.5,120
Moncloa,PISO,2,300,1900.0,300
Retiro,PISO,1,240,1800.0,240
Latina,PISO,3,97,800.0,97
Latina,PISO,0,60,500.0,60
Moncloa,PISO,1,300,0.0,300
Moncloa,PISO,3,142,1825.0,142
Retiro,PISO,3,195,1950.0,195
Centro,PISO,2,300,3000.0,300
Latina,PISO,0,180,500.0,180
Centro,PISO,0,195,1350.0,195
Centro,PISO,1,195,1875.0,195
Centro,PISO,1,240,2500.0,240
Chamartín,PISO,1,150,800.0,150
Latina,PISO,3,165,1350.0,165
Moncloa,PISO,3,300,2600.0,300
Moncloa,PISO,0,180,812.5,180
Latina,PISO,2,195,800.0,195
Moncloa,PISO,0,120,1295.0,120
Chamberí,PISO,3,120,1200.0,120
Retiro,PISO,1,97,1000.0,97
